이름,설명,칼로리,포화지방,나트륨,탄수화물,당,카페인,단백질
브라운 마끼아토네,"프리미엄 에스프레소와 달콤한 황설탕, 실크와 같은 밀크폼이 더해진 이탈리아식 에스프레소 음료.",121,3,60,15,14,99,36
마끼아토네,에스프레소 마끼아토 보다는 부드러우면서 카푸치노 보다는 진한 매력을 가진 이탈리아식 에스프레소 음료,89,3,60,7,6,99,36
아이스 바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",171,0,73,29,19,99,1
바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",259,1,136,41,23,99,2
아이스 헤이즐넛 라떼,"에스프레소와 헤이즐넛 파우더, 저지방 우유와 얼음",270,8,164,39,33,99,7
카페 라떼,에스프레소와 스팀밀크 그리고 거품,198,8,150,14,14,99,9
아메리카노,따뜻한 물에 부드러워진 에스프레소의 컴비네이션,10,0,0,2,0,198,0
카푸치노,에스프레소와 스팀밀크 그리고 진한 거품,135,5,100,10,9,99,6
헤이즐넛 아메리카노,따뜻한 물에 부드러워진 에스프레소와 헤이즐넛 파우더의 콤비네이션,196,7,69,30,24,198,1
헤이즐넛 라떼,"에스프레소와 헤이즐넛 파우더, 스팀밀크와 거품",314,8,219,44,38,99,10
바닐라 라떼,"에스프레소와 커피빈 바닐라 파우더, 스팀밀크와 거품",317,6,313,47,44,99,13
카페수아,깊고 진한 더블 에스프레소와 달콤한 연유의 만남,325,6,182,48,42,198,10
캐러멜 마키아토,"에스프레소와 스팀밀크 그리고 거품, 부드러운 캐러멜",393,9,225,59,50,99,9
플랫화이트,기존 라떼보다 거품과 우유가 적게 들어가서 커피를 진하고 고소하게 마실 수 있음,135,5,100,9,9,198,6
아이스 아메리카노,"에스프레소와 얼음, 물의 컴비네이션",5,0,0,1,0,99,0
아이스 카페라떼,"에스프레소와 얼음, 우유의 컴비네이션",126,5,95,9,9,99,6
아이스 헤이즐넛 아메리카노,"에스프레소와 얼음, 물과 헤이즐넛 파우더의 콤비네이션",194,7,69,30,24,99,1
아이스 모카 라떼,"에스프레소와 초콜릿 파우더, 저지방 우유와 얼음",219,4,238,35,31,104,8
아이스 바닐라 라떼,"에스프레소와 커피빈 바닐라 파우더, 저지방 우유와 얼음",226,4,218,34,32,99,9
아이스 캐러멜 마키아토,"에스프레소와 부드러운 캐러멜, 우유와 얼음",321,6,170,54,45,99,6
아이스 카페수아,깊고 진한 더블 에스프레소와 달콤한 연유의 만남,302,6,168,44,39,198,9
아이스 에스프레소,진한 에스프레소와 얼음,15,0,0,3,0,297,0
에스프레소 싱글,,5,0,0,1,0,99,0
에스프레소 더블,,10,0,0,2,0,198,0
마끼아또 싱글,,15,0,8,2,1,99,0
마끼아또 더블,,30,1,15,3,1,198,1
